label,mfcc_1_mean,mfcc_2_mean,mfcc_3_mean,mfcc_4_mean,mfcc_5_mean,mfcc_6_mean,mfcc_7_mean,mfcc_8_mean,mfcc_9_mean,mfcc_10_mean,mfcc_11_mean,mfcc_12_mean,mfcc_13_mean,mfcc_overall_mean,mfcc_overall_std,mfcc_overall_min,mfcc_overall_max
D,-440.478,74.53464,12.639166,30.829704,-0.68970865,5.610911,7.180795,-7.2021832,-5.5973134,2.5355766,-2.9405563,-3.3561666,-3.0842404,-25.385952,128.73837,-618.39343,140.52136
J,-483.531,44.801174,28.54964,27.109552,-3.6762075,0.15250824,3.3165607,-5.5731187,-3.7717438,1.9479859,-0.9274415,-0.31953436,-1.4521657,-30.25952,138.01385,-605.8972,93.48421
I,-223.93477,72.71195,-48.29675,-17.057478,-34.48479,15.586856,-29.89827,-9.9505415,-4.7666016,-9.762677,-14.702817,-7.5035896,-2.1285293,-24.168308,79.46441,-524.9456,131.74318
A,-301.5923,7.185541,39.28045,29.362242,-18.189026,18.44436,-14.257644,10.065239,3.1308515,-2.4233723,3.4213688,-5.885742,-2.895534,-18.027195,85.28863,-385.07617,73.39642
G,-377.34024,79.62727,44.752266,63.16324,-45.317673,-29.913895,-15.589108,-11.970203,-49.66397,-2.3229585,-6.355839,-20.596098,-1.2985506,-28.678905,110.65599,-560.86707,125.903656
C,-560.6141,32.538464,23.248732,20.277353,5.107694,1.6366156,4.5100713,-3.9235706,-4.1716266,3.497289,-1.3688263,0.13406368,2.0921006,-36.695053,157.41899,-694.76324,78.410774
H,-350.2661,116.59965,13.702039,56.91259,-41.22735,-23.866549,7.8409348,-1.2794037,-13.138896,11.936202,-2.5468135,-9.251942,-11.455767,-18.926262,107.364746,-548.6512,147.37961
D,-364.03424,100.46475,34.186928,76.45912,-35.892426,-9.1790905,12.278811,-19.51757,-17.04865,3.6526723,-8.909369,-18.721146,-10.156678,-19.724377,109.70998,-556.37134,174.82379
I,-223.13255,33.51004,0.825532,-16.635696,-32.869797,5.4715633,-20.008064,15.541889,-3.1637738,-4.737761,-15.805969,-7.945194,-17.912817,-22.066357,70.42595,-455.4988,86.21276
A,-393.252,81.9882,25.549536,53.202003,-20.812454,-45.35658,-12.793663,-11.253669,-41.809868,11.460903,1.0705398,-7.583656,-2.8697736,-27.881575,113.73968,-619.1589,101.86536
G,-466.46143,37.681473,27.96441,23.450542,-22.049604,-0.49561906,-4.1289153,-8.731811,-5.2580733,-0.09059969,1.7343477,0.4459079,-2.1741464,-32.16258,134.35397,-621.446,95.27907
B,-301.84772,54.50476,64.04426,52.988396,-45.90987,-1.6188798,-14.590158,-10.499802,-19.10539,4.751178,-14.37044,-4.233594,-2.3483074,-18.325813,91.4572,-443.56128,97.42816
G,-459.09555,38.134136,30.63472,19.306168,-2.438055,2.0454323,1.9832885,-7.727474,-4.763836,0.27805588,-5.759067,-3.34442,0.5070452,-30.018429,132.94632,-621.53925,122.55113
